%roll pitch yaw
-0.00503452 -0.00207269 -0.191499
-0.00502548 -0.00208008 -0.191516
-0.00502549 -0.00206168 -0.19154
-0.00502332 -0.00205228 -0.191565
-0.00502289 -0.00206573 -0.19158
-0.00502072 -0.00207944 -0.191589
-0.00503 -0.00209665 -0.191593
-0.00503503 -0.0020935 -0.191613
-0.00503838 -0.00208087 -0.191626
-0.00503869 -0.00206243 -0.19164
-0.00503375 -0.00205523 -0.191657
-0.00503352 -0.00206851 -0.191688
-0.00503459 -0.00208484 -0.191706
-0.00503787 -0.00208097 -0.191714
-0.00503367 -0.00207103 -0.191717
-0.00503351 -0.00206226 -0.191722
-0.00502874 -0.00205423 -0.191741
-0.00503161 -0.00206968 -0.191772
-0.00504633 -0.00209285 -0.191798
-0.00505133 -0.0021145 -0.191823
-0.00504861 -0.00212502 -0.191843
-0.00504048 -0.00211441 -0.191858
-0.00503501 -0.00209776 -0.191867
-0.00503842 -0.00209427 -0.191873
-0.00504346 -0.00211092 -0.191879
-0.00504506 -0.00212597 -0.191886
-0.00503763 -0.00214504 -0.191901
-0.00503687 -0.00215607 -0.191912
-0.00503842 -0.00215356 -0.191919
-0.00504611 -0.00213582 -0.191939
-0.00505417 -0.00211202 -0.191964
-0.00506012 -0.00210716 -0.191969
-0.00505508 -0.00210988 -0.191971
-0.00505515 -0.00211674 -0.191977
-0.00505586 -0.00211217 -0.191999
-0.00505662 -0.0020958 -0.192023
-0.00505378 -0.0020839 -0.192043
-0.00504381 -0.00209461 -0.192059
-0.00503869 -0.00210219 -0.192075
-0.00504064 -0.00210474 -0.192093
-0.00504659 -0.00210255 -0.192104
-0.00505011 -0.00208306 -0.192116
-0.00504981 -0.00206561 -0.19213
-0.00504906 -0.00205353 -0.192163
-0.00504374 -0.00207451 -0.192175
-0.00503934 -0.00209958 -0.192189
-0.00503414 -0.00210378 -0.192197
-0.00503958 -0.00210131 -0.1922
-0.0050396 -0.00207648 -0.192207
-0.00503882 -0.0020568 -0.192211
-0.00504026 -0.00204308 -0.192214
-0.0050454 -0.00205485 -0.192229
-0.00503972 -0.00206545 -0.192265
-0.00504857 -0.00205098 -0.192294
-0.0050555 -0.00204258 -0.1923
-0.00504812 -0.00202263 -0.192301
-0.00504913 -0.00201772 -0.192316
-0.00504963 -0.00203508 -0.192337
-0.0050472 -0.00205277 -0.192355
-0.00504571 -0.00206848 -0.192374
-0.0050401 -0.00207132 -0.192393
-0.00503337 -0.00204691 -0.192408
-0.00503202 -0.00202643 -0.192413
-0.00503941 -0.00203287 -0.192433
-0.00504582 -0.00203358 -0.192458
-0.00503701 -0.00203377 -0.192486
-0.00503839 -0.00203346 -0.192504
-0.00504388 -0.00202009 -0.192514
-0.00504354 -0.00201073 -0.192542
-0.00505342 -0.00202856 -0.192569
-0.00505887 -0.00205268 -0.192582
-0.00506159 -0.00206205 -0.192605
-0.00506032 -0.00206737 -0.192628
-0.00506257 -0.00205999 -0.19264
-0.00506575 -0.00205081 -0.192656
-0.0050657 -0.00206281 -0.192665
-0.00506111 -0.00208133 -0.192676
-0.00506203 -0.00210537 -0.192689
-0.00506715 -0.00210541 -0.192699
-0.00507216 -0.00209058 -0.192709
-0.00507426 -0.002093 -0.192719
-0.00507778 -0.0021025 -0.192739
-0.00508255 -0.00210533 -0.192766
-0.00508278 -0.00209722 -0.192773
-0.00508357 -0.00207574 -0.192775
-0.00508872 -0.0020478 -0.192785
-0.00508623 -0.00203117 -0.192796
-0.00508532 -0.00203277 -0.192824
-0.00508263 -0.0020445 -0.192844
-0.00507265 -0.00205867 -0.192864
-0.00507289 -0.00207043 -0.192886
-0.00508013 -0.00207072 -0.192892
-0.00508158 -0.00205919 -0.192909
-0.00507584 -0.00205702 -0.192933
-0.00507538 -0.00203425 -0.192954
-0.00508743 -0.00203209 -0.192969
-0.00509797 -0.0020492 -0.192983
-0.00509266 -0.00207738 -0.192989
-0.00508567 -0.00209581 -0.19299
-0.00507315 -0.00209791 -0.19299
