%roll pitch yaw
-0.00268775 0.000509534 -0.73473
-0.00267232 0.000487041 -0.73474
-0.00266606 0.000454595 -0.734764
-0.00265458 0.000426843 -0.734778
-0.00264781 0.000433775 -0.734793
-0.00263198 0.000438554 -0.734807
-0.00261855 0.000434433 -0.734821
-0.00260942 0.000408154 -0.734835
-0.0025967 0.000394794 -0.734872
-0.00258837 0.000405488 -0.734912
-0.0025831 0.000417038 -0.734937
-0.00258072 0.000410038 -0.734942
-0.00256924 0.000385642 -0.734946
-0.0025684 0.000375738 -0.734963
-0.00257665 0.000376746 -0.734984
-0.00257695 0.000366694 -0.735001
-0.00257765 0.000347697 -0.73501
-0.00257588 0.000309308 -0.735031
-0.00256715 0.000304336 -0.735058
-0.00256797 0.00030064 -0.735088
-0.00256191 0.000297924 -0.735115
-0.00255961 0.000285841 -0.735136
-0.00255466 0.000261046 -0.735161
-0.00254952 0.000254798 -0.73519
-0.002548 0.000257016 -0.735209
-0.00255269 0.000249383 -0.735217
-0.00255485 0.000229872 -0.735232
-0.00256107 0.000225418 -0.735267
-0.00256342 0.000232603 -0.735306
-0.00256165 0.000231565 -0.735334
-0.00256084 0.000211934 -0.735359
-0.00256111 0.000203335 -0.735389
-0.00255741 0.00020101 -0.735398
-0.00255132 0.000213169 -0.735406
-0.0025461 0.000214226 -0.735402
-0.00253452 0.000192854 -0.735413
-0.00251616 0.000169669 -0.73543
-0.00251423 0.000161836 -0.735445
-0.00250259 0.000173744 -0.735473
-0.00249188 0.000182308 -0.735494
-0.00248917 0.000172444 -0.735514
-0.00248608 0.000155028 -0.735536
-0.00247458 0.000144905 -0.73556
-0.00246386 0.000152646 -0.735568
-0.00245553 0.000151452 -0.735575
-0.00244311 0.000140051 -0.735578
-0.0024377 0.000122395 -0.735597
-0.0024299 0.000116263 -0.735609
-0.00242643 0.000110964 -0.735625
-0.00241828 9.79195e-05 -0.735632
-0.00242419 8.73146e-05 -0.735645
-0.00243247 7.67627e-05 -0.735661
-0.00244269 7.90726e-05 -0.735677
-0.00244827 8.18427e-05 -0.73569
-0.0024463 8.64392e-05 -0.735709
-0.00244022 9.16564e-05 -0.735736
-0.00244367 9.48491e-05 -0.73575
-0.00245554 9.13657e-05 -0.735763
-0.00245793 7.69891e-05 -0.735771
-0.00245728 7.76145e-05 -0.735778
-0.0024494 8.04903e-05 -0.735797
-0.00244073 8.69099e-05 -0.73582
-0.00244166 7.42513e-05 -0.735849
-0.00244362 6.06545e-05 -0.735889
-0.0024489 6.01225e-05 -0.735897
-0.00244481 5.61821e-05 -0.735896
-0.00244833 5.40285e-05 -0.735906
-0.00244573 5.57127e-05 -0.735933
-0.00244408 6.53051e-05 -0.735953
-0.00244054 5.14091e-05 -0.735963
-0.00244169 4.3931e-05 -0.735981
-0.00244446 5.11767e-05 -0.735996
-0.00244536 4.99794e-05 -0.736007
-0.00244804 4.63607e-05 -0.736026
-0.00244895 4.61529e-05 -0.736039
-0.00244472 4.36919e-05 -0.736051
-0.00244224 3.05355e-05 -0.736081
-0.00245239 4.24248e-05 -0.736111
-0.00245132 6.60029e-05 -0.736143
-0.00245181 7.02414e-05 -0.736162
-0.00245215 6.47647e-05 -0.736162
-0.00245191 7.09387e-05 -0.736177
-0.00244209 7.81016e-05 -0.736193
-0.00243655 8.02461e-05 -0.736208
-0.00243745 8.5384e-05 -0.736225
-0.0024386 7.85509e-05 -0.736248
-0.00244301 7.10611e-05 -0.736258
-0.00244587 7.70056e-05 -0.736282
-0.00244178 8.042e-05 -0.736288
-0.00243588 6.81321e-05 -0.736315
-0.00243782 6.13631e-05 -0.736354
-0.00243931 6.28381e-05 -0.736382
-0.00243719 6.79958e-05 -0.736403
-0.00243051 6.57236e-05 -0.736419
-0.00242884 4.46438e-05 -0.736432
-0.00242244 5.06248e-05 -0.73646
-0.00240914 6.38232e-05 -0.736477
-0.00239805 5.76131e-05 -0.736501
-0.00239179 6.17501e-05 -0.736524
-0.00239762 8.35812e-05 -0.736533
-0.00241286 0.000100887 -0.736535
-0.00241781 0.000108229 -0.736532
-0.0024243 0.000116603 -0.736538
-0.00242187 0.000141472 -0.736545
-0.00241705 0.000148232 -0.736553
