%roll pitch yaw
-0.00413828 -0.00450544 -0.412735
-0.00413063 -0.00454403 -0.412929
-0.00412862 -0.00455856 -0.413097
-0.00413936 -0.00457339 -0.413231
-0.00414651 -0.00457902 -0.413348
-0.00414631 -0.00458273 -0.413438
-0.00414771 -0.00458222 -0.413512
-0.00414458 -0.00457983 -0.413575
-0.00415318 -0.00458429 -0.413632
-0.00416968 -0.00457596 -0.41367
-0.00419903 -0.00455011 -0.413722
-0.00422216 -0.00452831 -0.413764
-0.0042505 -0.0045203 -0.413798
-0.00427604 -0.00450201 -0.413814
-0.0043039 -0.00450572 -0.413817
-0.00434283 -0.00452913 -0.413785
-0.0043825 -0.00456867 -0.413726
-0.00441528 -0.0046206 -0.413622
-0.00445661 -0.00467939 -0.41349
-0.00449423 -0.0047352 -0.413315
-0.00451871 -0.00478187 -0.413088
-0.00453392 -0.00480729 -0.412813
-0.00453845 -0.00481267 -0.412504
-0.00453571 -0.00481705 -0.412153
-0.00453895 -0.00482773 -0.411769
-0.00454845 -0.00483277 -0.411357
-0.00456029 -0.0048338 -0.410918
-0.00457465 -0.00485189 -0.41046
-0.00459064 -0.00487984 -0.40999
-0.00460293 -0.00492734 -0.409488
-0.00462217 -0.0049764 -0.408978
-0.00463378 -0.00502507 -0.408463
-0.00463301 -0.0050599 -0.407941
-0.0046314 -0.00509973 -0.407406
-0.00463548 -0.00512771 -0.406867
-0.00463413 -0.00514303 -0.406304
-0.00462091 -0.00515957 -0.40574
-0.00460221 -0.00518727 -0.40517
-0.00459751 -0.00521989 -0.404603
-0.00458053 -0.00524338 -0.404046
-0.00456704 -0.00526692 -0.403487
-0.00457225 -0.00527193 -0.402941
-0.00458732 -0.00527328 -0.402432
-0.00459747 -0.00526019 -0.401937
-0.00461178 -0.0052359 -0.401452
-0.00460482 -0.00522655 -0.400985
-0.00459325 -0.00523849 -0.400558
-0.00456996 -0.00526126 -0.400154
-0.00452886 -0.00528096 -0.399777
-0.00449416 -0.00529572 -0.399432
-0.00446705 -0.00531139 -0.399117
-0.004436 -0.00531798 -0.398841
-0.00440005 -0.00532204 -0.398596
-0.00436628 -0.00533968 -0.39838
-0.00433515 -0.0053609 -0.398212
-0.0043067 -0.00538388 -0.398085
-0.00427936 -0.0053963 -0.397982
-0.00425084 -0.00541848 -0.397912
-0.00421007 -0.005444 -0.397881
-0.00416373 -0.0054851 -0.397876
-0.00411915 -0.0055132 -0.397907
-0.00407838 -0.00554072 -0.397957
-0.00403825 -0.00556794 -0.398014
-0.00399207 -0.00559026 -0.398117
-0.00394468 -0.00559718 -0.398245
-0.00390859 -0.00558804 -0.398397
-0.00386555 -0.00558477 -0.398573
-0.00383836 -0.00558585 -0.398746
-0.00381465 -0.00557373 -0.398918
-0.00380248 -0.00557242 -0.399108
-0.00379056 -0.00557924 -0.399291
-0.00377392 -0.00557554 -0.399477
-0.00376887 -0.0055836 -0.399667
-0.00376423 -0.00558923 -0.399865
-0.00376008 -0.00558251 -0.40007
-0.00375541 -0.00556995 -0.400267
-0.00375664 -0.00556939 -0.400452
-0.00375604 -0.00556887 -0.400632
-0.00376267 -0.00557055 -0.400796
-0.00378074 -0.00558298 -0.400936
-0.00381172 -0.00558419 -0.401066
-0.00384144 -0.00558524 -0.401184
-0.00386746 -0.00557153 -0.401285
-0.00389078 -0.00556344 -0.401371
-0.00390754 -0.00553778 -0.401429
-0.00393226 -0.00552847 -0.401469
-0.00395772 -0.00552152 -0.401506
-0.00398498 -0.00549503 -0.401536
-0.00400432 -0.00546046 -0.401544
-0.00402621 -0.00543408 -0.401548
-0.00402672 -0.00540381 -0.401522
-0.00402688 -0.00539091 -0.401478
-0.0040265 -0.00538167 -0.401426
-0.00403457 -0.00538368 -0.401355
-0.00404639 -0.00539067 -0.401258
-0.00405452 -0.0053819 -0.40115
-0.00407389 -0.00536164 -0.401033
-0.00408702 -0.00535037 -0.400917
-0.00410781 -0.005342 -0.4008
-0.00411025 -0.00534879 -0.400683
-0.00410826 -0.00535777 -0.400562
-0.00410679 -0.00536315 -0.400434
-0.00411212 -0.00537696 -0.400307
-0.00410735 -0.00538904 -0.400184
-0.00409555 -0.00540162 -0.400053
-0.00408037 -0.0054132 -0.399936
-0.00406703 -0.00542522 -0.399832
-0.0040463 -0.00543225 -0.399733
-0.00403991 -0.00541897 -0.399662
-0.00402462 -0.00540207 -0.399598
-0.00400222 -0.00538972 -0.399545
-0.0039919 -0.00536712 -0.399499
-0.00399521 -0.00535632 -0.399469
-0.00399108 -0.00535318 -0.399439
-0.0039862 -0.00535407 -0.399424
-0.00398816 -0.00535842 -0.399429
-0.00397707 -0.00535617 -0.399448
-0.00396019 -0.00533946 -0.399493
-0.00394932 -0.0053189 -0.399538
-0.0039389 -0.00529128 -0.399595
-0.00392052 -0.00527009 -0.399655
-0.00390627 -0.00525098 -0.399728
-0.00390628 -0.00522567 -0.399818
-0.00390627 -0.005215 -0.399914
-0.00390375 -0.00521554 -0.400018
-0.00389223 -0.00520929 -0.400124
-0.00388593 -0.0052065 -0.400231
-0.00388004 -0.00521374 -0.400342
-0.00387717 -0.00521299 -0.400444
-0.00387119 -0.00520181 -0.400552
-0.00386909 -0.00518267 -0.400674
-0.0038618 -0.00517929 -0.400781
-0.00385646 -0.00516445 -0.400881
-0.0038543 -0.00515374 -0.400985
-0.00386196 -0.00513484 -0.401085
-0.00387206 -0.00511355 -0.401173
-0.00388586 -0.00509888 -0.401248
-0.00389686 -0.00508377 -0.401312
-0.00391718 -0.00505996 -0.401362
-0.00393269 -0.00504354 -0.401409
-0.00394193 -0.00502456 -0.401433
-0.00395455 -0.005018 -0.401445
-0.00396241 -0.00501487 -0.401448
-0.00397091 -0.0050073 -0.401454
-0.00397917 -0.004991 -0.401462
-0.00399061 -0.00498261 -0.40146
-0.00399635 -0.0049726 -0.40144
-0.00400167 -0.00495491 -0.401409
-0.00401019 -0.0049354 -0.401364
-0.00400933 -0.00491209 -0.401313
-0.00400811 -0.00490033 -0.40126
