%roll pitch yaw
0.00300421 -0.00557018 -0.108183
0.00219353 -0.00578913 -0.107931
0.00129667 -0.00595158 -0.107782
0.000364952 -0.00606233 -0.107717
-0.00051618 -0.00611904 -0.10771
-0.00129244 -0.00615084 -0.107744
-0.00189793 -0.00615274 -0.107821
-0.00230916 -0.00613837 -0.107913
-0.00252337 -0.00612976 -0.108013
-0.00258773 -0.00618034 -0.108136
-0.00249273 -0.00621604 -0.108282
-0.00226044 -0.00623374 -0.108463
-0.00188991 -0.00628365 -0.108697
-0.00138548 -0.00633561 -0.10901
-0.000883095 -0.00641582 -0.109383
-0.000288256 -0.00652867 -0.109801
0.000385224 -0.00664672 -0.110245
0.00110703 -0.00678421 -0.110692
0.00185996 -0.00686689 -0.111121
0.00276154 -0.00695242 -0.111539
0.00369575 -0.00705964 -0.111923
0.00466116 -0.00713873 -0.112272
0.00564153 -0.00718976 -0.112592
0.0066243 -0.00724243 -0.112887
0.0075944 -0.00728826 -0.11317
0.00850065 -0.00733836 -0.113428
0.00931559 -0.00741899 -0.113658
0.00981012 -0.00749941 -0.11385
0.0102051 -0.00757802 -0.114001
0.0106868 -0.00769796 -0.114127
0.0110457 -0.00783735 -0.114209
0.0113137 -0.0079506 -0.114262
0.0115038 -0.00805299 -0.114295
0.01161 -0.00818845 -0.114312
0.0116527 -0.00833594 -0.114303
0.0116512 -0.00851608 -0.11425
0.0115896 -0.00870734 -0.11416
0.0114629 -0.00888224 -0.114065
0.0113067 -0.00905871 -0.113948
0.0111354 -0.00923262 -0.113806
0.0109527 -0.00939272 -0.113667
0.0107365 -0.0095453 -0.113541
0.0105054 -0.00971607 -0.113418
0.0102592 -0.00986651 -0.113289
0.00998896 -0.00996498 -0.11318
0.00970525 -0.010039 -0.113078
0.00943436 -0.0100864 -0.112986
0.00920634 -0.0100986 -0.112898
0.00905976 -0.0100878 -0.112829
0.00901491 -0.0100543 -0.112772
0.00909475 -0.0100285 -0.112714
0.00932066 -0.00999684 -0.112673
0.0096858 -0.00996494 -0.112631
0.0101601 -0.00993178 -0.112569
0.0107365 -0.00990889 -0.112512
0.0113722 -0.00988413 -0.112452
0.0120398 -0.0098401 -0.1124
0.0127142 -0.00975828 -0.112376
0.0133805 -0.00961515 -0.11236
0.0140377 -0.00946832 -0.112338
0.0147076 -0.00936479 -0.112325
0.0153665 -0.00933551 -0.112321
0.0160192 -0.0093568 -0.112324
0.0166812 -0.00943574 -0.112343
0.017344 -0.00953233 -0.112371
0.0179898 -0.00966195 -0.112396
0.0186237 -0.00980362 -0.112396
0.0192373 -0.00991197 -0.112383
0.0198035 -0.00997908 -0.112347
0.0203062 -0.0100573 -0.112277
